tau,paired,seed,fano,detection,mean_weight
4,1,27,0.32776976257476137,0.98745,2.0939
4,0,27,0.9494673874863899,0.4417,0.5589
4,1,28,0.32224989653596187,0.98675,2.1004
4,0,28,0.9136921851865754,0.44985,0.56295
4,1,29,0.3250731876069318,0.9856,2.08395
4,0,29,0.9294930294533291,0.44475,0.5602
4,1,30,0.32867078188571686,0.9857,2.08815
4,0,30,0.9436440808697485,0.44015,0.5546
5,1,1,0.29799566275126965,0.99785,3.0093
5,0,1,0.9490013146961211,0.5144,0.69735
5,1,2,0.3050297086740173,0.99785,2.9992
5,0,2,0.9197294331836773,0.52375,0.7056
5,1,3,0.2977984820247711,0.9979,3.00785
5,0,3,0.9315681019626875,0.52075,0.69935
5,1,4,0.29154512307488184,0.9987,2.9955
5,0,4,0.9227457415832917,0.52535,0.7076
5,1,5,0.2973806086163625,0.9983,3.00675
5,0,5,0.9382395208552378,0.52495,0.71065
5,1,6,0.2941075221134819,0.99835,3.00525
5,0,6,0.9289106824361717,0.5198,0.7024
5,1,7,0.30243526977335594,0.99795,2.9998
5,0,7,0.9429398770270411,0.52135,0.70805
5,1,8,0.29917179023817,0.99865,3.01245
5,0,8,0.9415846898539616,0.52115,0.70625
5,1,9,0.29587335865666314,0.9981,2.99475
5,0,9,0.9443691791306948,0.5168,0.6967
5,1,10,0.3047847442930954,0.9981,3.0064
5,0,10,0.92980531713704,0.52235,0.7041
5,1,11,0.29797208856152535,0.9984,2.99515
5,0,11,0.9297982629627937,0.5222,0.705
5,1,12,0.29774338509276643,0.99815,2.99785
5,0,12,0.9456244328240898,0.51385,0.69425
5,1,13,0.29727340462515167,0.9977,3.00025
5,0,13,0.9278191826169,0.5203,0.70245
5,1,14,0.2956532503215686,0.9983,3.0163
5,0,14,0.935026836690341,0.5215,0.703
5,1,15,0.46900748135076825,0.9889,2.9958
5,0,15,0.9135632466795512,0.53055,0.7115
5,1,16,0.2992945483321668,0.99765,2.99355
5,0,16,0.923809051622419,0.5258,0.7095
5,1,17,0.2968558501249376,0.9981,2.99355
5,0,17,0.9446934091815272,0.51645,0.69795
5,1,18,0.2923362657397107,0.99835,3.00165
5,0,18,0.9362263437902169,0.5234,0.70905
5,1,19,0.29709987566872004,0.99825,2.9988
5,0,19,0.9297003837928479,0.523,0.70535
5,1,20,0.46378800778302287,0.9883,3.01045
5,0,20,0.9180508255631185,0.52095,0.69825
5,1,21,0.2970237447971708,0.9985,3.00075
5,0,21,0.9379816333743031,0.5211,0.7019
5,1,22,0.3020894153721841,0.99795,3.02025
5,0,22,0.9230839953908363,0.52435,0.70525
5,1,23,0.4636996500708263,0.9885,2.9947
5,0,23,0.9412079544888259,0.52295,0.7091
5,1,24,0.29410065952687103,0.9976,2.9974
5,0,24,0.9327116241395593,0.51955,0.6992
5,1,25,0.46447029801843287,0.9887,3.0012
5,0,25,0.9531561887318316,0.52165,0.71065
5,1,26,0.30590019204426694,0.99775,3.01315
5,0,26,0.9208492534718479,0.52525,0.70305
5,1,27,0.2974643823971589,0.99835,3.01535
5,0,27,0.9459893414340976,0.5188,0.70055
5,1,28,0.28681922357772627,0.99805,2.9902
