seed,cell,tau,epsilon,shots,fano_paired,fano_control,detection_paired,mean_weight_paired
25,hex-r1-7n,5,0.1,20000,0.3593939628758966,1.0849393281482014,1.0,12.0195
25,sq-3x3-9n,5,0.1,20000,0.25437476565324924,1.3934331185486526,1.0,12.02175
25,hex-r2-19n,5,0.1,20000,0.42223555584676675,1.3032624173461123,1.0,42.0214
25,sq-4x4-16n,5,0.1,20000,0.41028986872697953,1.582433153801055,1.0,23.987
26,hex-r1-7n,5,0.1,20000,0.3579225756648513,1.106254432414933,1.0,11.99745
26,sq-3x3-9n,5,0.1,20000,0.41603360724401517,1.5679387528900894,1.0,12.0065
26,hex-r2-19n,5,0.1,20000,0.41348944980379965,1.498707661341718,1.0,41.98115
26,sq-4x4-16n,5,0.1,20000,0.36203178381570567,1.4991026522678697,1.0,23.99445
27,hex-r1-7n,5,0.1,20000,0.5031871775089046,1.1794592573972007,1.0,12.011
27,sq-3x3-9n,5,0.1,20000,0.2878199436856069,1.120510431774935,1.0,12.01355
27,hex-r2-19n,5,0.1,20000,0.39809194325357367,1.2540053491985375,1.0,41.9801
27,sq-4x4-16n,5,0.1,20000,0.40134446132650603,1.6270303298711635,1.0,24.014
28,hex-r1-7n,5,0.1,20000,0.3608780509115404,1.0866694291400674,1.0,11.9846
28,sq-3x3-9n,5,0.1,20000,0.3361438690630817,1.3300353875073143,1.0,12.00185
28,hex-r2-19n,5,0.1,20000,0.4059731600198081,1.3009044991877725,1.0,42.05515
28,sq-4x4-16n,5,0.1,20000,0.42397160494870206,1.8290125544663933,1.0,23.9807
29,hex-r1-7n,5,0.1,20000,0.2819925232564813,1.123696313380502,1.0,11.98545
29,sq-3x3-9n,5,0.1,20000,0.3553426672079658,1.4611509703433707,1.0,11.99645
29,hex-r2-19n,5,0.1,20000,0.41948899400078016,1.4479850504726919,1.0,41.98745
29,sq-4x4-16n,5,0.1,20000,0.37464306644250517,1.3571378469984443,1.0,24.01005
30,hex-r1-7n,5,0.1,20000,0.5457486073708323,1.4517219326422754,1.0,12.0263
30,sq-3x3-9n,5,0.1,20000,0.3607256201232639,1.2053362281104485,1.0,11.99425
30,hex-r2-19n,5,0.1,20000,0.4252670643002354,1.3790713891491262,1.0,41.97375
30,sq-4x4-16n,5,0.1,20000,0.35498651192254177,1.5123013927214461,1.0,23.98895
