trial,perturbation,P_at_n12,P_at_n13,P_at_n27,P_at_n37,P_at_n39,ZZ_at_n12
56,random,0.719783644193762,0.7983886394999565,0.7875334042461793,0.7553881790300675,0.7379451844832698,0.47694276579496564
56,small,0.677764803744259,0.6781953934405589,0.7066566413494233,0.9372636518801659,0.9281942723786125,0.41743726382506796
57,shuffle,0.8498844325886044,0.8465082017940498,0.7143539165768817,0.7427829445663479,0.6347327080083428,0.7025010880431857
57,random,0.6233787031982356,0.7483502446046069,0.7404645302127706,0.6420162661105231,0.6828527984943276,0.3042736374057793
57,small,0.6512809426426769,0.651390555712659,0.6164845321914868,0.9040254361388722,0.9269647965504831,0.37646182066351674
58,shuffle,0.7891060236351484,0.7937132044381453,0.7997669097688509,0.9718313993839767,0.8485815946120012,0.6030576601386188
58,random,0.9070886034909819,0.9747593073317735,0.9242887177517922,0.8672001536566921,0.8490104436624775,0.815822028563214
58,small,0.6886000739098397,0.6874060355867063,0.6158562692938617,0.8966561209766812,0.9498362053607243,0.43493885429622675
59,shuffle,0.8407095241381323,0.8572606953973553,0.9410977427299279,0.8687168087805397,0.8613384835440115,0.683346313284363
59,random,0.4661822355337829,0.4422789448186906,0.2747068671311083,0.5512072284630468,0.6887296044518594,0.1271554633131765
59,small,0.6829976803918961,0.6688917119404468,0.5501403557741078,0.7798847793748845,0.8879693078496165,0.4258725255062485
60,shuffle,0.6688810184368715,0.6109298088454853,0.6064580422295444,0.9093074027538773,0.7320441076427375,0.3969570597141281
60,random,0.6308427148487322,0.6309703863510862,0.7278730045697046,0.7703887600434564,0.6754735441923017,0.34022517458606344
60,small,0.6813918739876124,0.6843920546717266,0.6589491755462963,0.8844347167688899,0.9083319653209775,0.42222339181507806
61,shuffle,0.7911186880681488,0.8170819436595195,0.9369136127991143,0.8283883377047734,0.778333936387264,0.5925301531054212
61,random,0.7133544741209528,0.7301629953925329,0.9234685744165031,0.748694239343894,0.7039271846804305,0.444086405704778
61,small,0.720865277008845,0.7236316515747475,0.8558103286584017,0.7636769363122213,0.7336242062371188,0.47352065502669083
62,shuffle,0.740453404719223,0.7449027226299116,0.8377171401876639,0.7240545828294557,0.7187721591960798,0.5038576156278242
62,random,0.8853151599164347,0.8168059942615865,0.5979156867592712,0.6161761078473525,0.35191935894041665,0.7772846580751946
62,small,0.7025961077720472,0.7062309821144765,0.6491413173601824,0.9070198439892125,0.9468355925171228,0.457534923834862
63,shuffle,0.6560074057970186,0.637628010790051,0.849065311753823,0.8094559309702166,0.8230305065310253,0.38224332096981445
63,random,0.7927971522228505,0.8235999143461347,0.801895387079613,0.796034603323646,0.8354329331013824,0.5985460895026242
63,small,0.6542929177883525,0.6489053670501342,0.4316180857787113,0.5320996335976228,0.7109218087571144,0.3757228255169129
64,shuffle,0.6894998411393756,0.6549386688301797,0.8604682062932647,0.7272230969011504,0.556444756380767,0.3970733738772487
64,random,0.7950792233034514,0.7029900902244244,0.718206199183139,0.6697469586996847,0.9010438440375679,0.5990460408966214
64,small,0.706788025043738,0.7224307604880328,0.7432288433822416,0.8873451208951153,0.8733056237036709,0.46225338080533995
65,shuffle,0.467111273622971,0.38893278610067344,0.2998146391456035,0.3302587806787123,0.6310266710471288,0.10770853244311374
65,random,0.8308284081014693,0.7638415980060824,0.4374466263512425,0.24789872962457954,0.5305002100390859,0.6772731935045643
65,small,0.685500358938842,0.6887607603304227,0.6998423271878182,0.9412432261512401,0.9136464350659715,0.42989651549523
66,shuffle,0.6496676256765734,0.6252973402897896,0.5929756032794901,0.8947640036565662,0.8313273380882911,0.36890298393641463
66,random,0.7989361814993945,0.8243811224872488,0.8031192520526432,0.8018439178925791,0.8132837023654635,0.6094804249834196
66,small,0.7710313200932397,0.791893197428997,0.8453504264930493,0.81179057337618,0.8300480846532645,0.5664944762608263
67,shuffle,0.8128496676019773,0.7985424045761935,0.8880321313901507,0.9120259659723053,0.8197770703436569,0.6279747736956574
67,random,0.8438793878587938,0.8699093696487648,0.6419689715863157,0.8510221387813538,0.6291605064799533,0.6880958333871017
67,small,0.7208783687200536,0.7239037215970981,0.8264726962451706,0.8370838230242703,0.7917186550914598,0.4770383047360568
68,shuffle,0.6619195980928271,0.6139853035542852,0.7789757659620486,0.861514822384504,0.8763987541286866,0.39154119432977535
68,random,0.7474602769044874,0.8966524937907963,0.7535484574200386,0.6912646050060622,0.6325807091546043,0.5280372251532449
68,small,0.6931230045257729,0.6913819328388002,0.6997645362304604,0.9357741621842595,0.9432046347217636,0.44196878741004664
69,shuffle,0.41247487046761,0.36917304002317003,0.2438449055210411,0.07895468867678188,0.22365035100655595,-0.032717016666910015
69,random,0.8900531089688143,0.9827428714875294,0.8998466913716047,0.9122105812699953,0.829034724876139,0.7840987471547274
69,small,0.6194593877927921,0.615939777038245,0.5854289080515588,0.899093581240636,0.953822814708426,0.3295674733239222
70,shuffle,0.547560029309847,0.4710524460854222,0.42134271975483284,0.6884040948124402,0.8727182591282329,0.2298135093224482
70,random,0.8221074288598657,0.8636997533705449,0.7785014304372446,0.8458896790180754,0.857640161427538,0.656939244260994
70,small,0.6165986348552427,0.6040418597402328,0.5670846923853898,0.7964929338095647,0.9473905007116121,0.3213946808202808
71,shuffle,0.8467862900447315,0.8456553269864843,0.8896477344881203,0.8068698087879428,0.8449255169237018,0.6945505675293989
71,random,0.7261288074419889,0.6491120702219362,0.37440523053582714,0.22491244024407067,0.3180328748221528,0.4953880816303896
71,small,0.629873882021628,0.6153136344046394,0.45061722904122553,0.6488440272300038,0.832828195425876,0.34109746893920573
72,shuffle,0.34612893431314334,0.2669759977973375,0.16920841029696806,0.13908410246735317,0.33593582803198485,-0.0020709432765202047
72,random,0.6130511863355412,0.5977106343073306,0.8764982276950815,0.6147016807551291,0.4018327147645464,0.25206345430080024
72,small,0.7431722860101013,0.7505819833651549,0.7528393473164469,0.9427452884636435,0.9099606805823404,0.5239181000308164
73,shuffle,0.6035378531633682,0.5583887948546262,0.6643183009362208,0.5397396232654235,0.7341585483730073,0.2736272091257669
73,random,0.8338274592378387,0.8183344354071405,0.9122941180921064,0.7955504754150668,0.797311950710933,0.6679242861600004
73,small,0.6721668501068705,0.6776218004871944,0.6754423484966693,0.9150751431776333,0.9009160539969617,0.40825243578785564
74,shuffle,0.6144464990104924,0.5557408623906062,0.7774228829699937,0.8791229539645271,0.6454341631345827,0.27540751351347253
74,random,0.8669805649652442,0.8073634558986171,0.935759052966111,0.9786562151524397,0.8887082134602807,0.7347718082452482
74,small,0.6338484039819878,0.6403269731649066,0.6780706839552418,0.8945089761724961,0.9141106638753984,0.35064912454717795
75,shuffle,0.8984434259098536,0.9080824458097454,0.8248344918328386,0.9037135183992422,0.873529108939881,0.7972731127940149
75,random,0.7579579733737047,0.7565052185761741,0.8858299004760732,0.931608333525999,0.9405534762776055,0.5454897364392992
75,small,0.6768340958573366,0.6678898053003135,0.46322556527868736,0.5415852218210297,0.7113723498412687,0.41371119039309784
76,shuffle,0.9054725230148721,0.8896710957106938,0.7929357729116744,0.6828127444570026,0.7162543789158223,0.8155943179761387
76,random,0.7035843534195783,0.7074308178572147,0.888776648426708,0.6509517822000923,0.6177734287486363,0.4189128367661007
76,small,0.712528098657922,0.716929540000317,0.777095543810769,0.9006071902067246,0.8337188916227495,0.4706863939008668
77,shuffle,0.6976377611645488,0.6756756251729953,0.7560337693278059,0.9294068400500632,0.8325021270007632,0.4399132073710744
77,random,0.8606375065252142,0.8672207086394536,0.638835516427077,0.8354441178357516,0.742398839453231,0.7252872234748435
77,small,0.7025421729734691,0.7074335080383892,0.6900271563199855,0.9346724076439468,0.9433356653732091,0.45700117061368206
78,shuffle,0.6605603042065622,0.6289329622160431,0.7289157796646503,0.9181131543219923,0.9568558227493471,0.3905663233091934
78,random,0.5628046466208597,0.6680756425151685,0.6122245616713994,0.6475283991596271,0.572600065896094,0.21371167005706643
78,small,0.6943033404832201,0.7072462251322074,0.8070422340368517,0.785126054365281,0.7490725441219136,0.4358024790982875
79,shuffle,0.6967058485159744,0.5847738784458102,0.7636009074782357,0.8931339182488224,0.7145930082107239,0.4250355870215929
79,random,0.7749183408352086,0.7974459377297362,0.6698060162393835,0.8569110798513137,0.5851830400511917,0.5589167970701464
